,Company,Ticker,IPO,First Value,Last Value,Last Date,How Much
147,ALTRA INDUSTRIAL MOTION,AIMC,2006-12-01 00:00:00,11.942298419006669,61.560001373291016,2023-03-01 00:00:00,415.4786726424094
148,ALTUS POWER INC (A),AMPS,2021-02-01 00:00:00,10.25,4.550000190734863,2023-05-01 00:00:00,-55.609754236733046
149,ALX ONCOLOGY HOLDINGS,ALXO,2020-07-01 00:00:00,32.459999084472656,4.590000152587891,2023-04-01 00:00:00,-85.85951853959376
150,AMALGAMATED FINANCIAL CORP,AMAL,2018-08-01 00:00:00,16.0396633387863,16.420000076293945,2023-05-01 00:00:00,2.3712264370782212
151,AMARK PRECIOUS METALS,AMRK,2014-03-01 00:00:00,5.187404305355384,35.369998931884766,2023-05-05 00:00:00,581.8438827945106
152,AMBAC FINANCIAL GROUP INC,AMBC,2013-05-01 00:00:00,18.610000610351562,15.880000114440918,2023-05-01 00:00:00,-14.669534693040895
153,AMBARELLA INC,AMBA,2012-10-01 00:00:00,8.4399995803833,76.62999725341797,2023-04-01 00:00:00,807.9384012236864
154,AMC NETWORKS,AMCX,2011-06-01 00:00:00,39.75,15.029999732971191,2023-05-05 00:00:00,-62.188679917053605
155,AMER RLTY INV,ARL,1985-01-01 00:00:00,6.891012100073008,26.420000076293945,2023-04-01 00:00:00,283.3979637913281
156,AMERANT BANCORP (A),AMTB,2018-10-01 00:00:00,21.239413322230735,21.850000381469727,2023-04-01 00:00:00,2.8747830741629095
157,AMERESCO,AMRC,2010-07-01 00:00:00,10.0,49.08000183105469,2023-04-01 00:00:00,390.8000183105469
158,AMERICA CAR MART,CRMT,1987-03-01 00:00:00,0.0,77.52999877929688,2023-05-05 00:00:00,inf
159,AMERICAN ASSETS TRUST INC.,AAT,2011-01-01 00:00:00,14.626802444458008,18.690000534057617,2023-04-01 00:00:00,27.779127427397
160,AMERICAN AXLE & MFG HOLDINGS,AXL,1999-01-01 00:00:00,14.490955706724186,7.840000152587891,2023-04-01 00:00:00,-45.89728716823057
161,AMERICAN EAGLE OUTFITTERS,AEO,1994-04-01 00:00:00,0.43278088915455054,13.479999542236328,2023-04-01 00:00:00,3014.740017418487
162,AMERICAN EQUITY INVESTMENT LIFE,AEL,2003-12-01 00:00:00,8.513322885343218,38.849998474121094,2023-05-05 00:00:00,356.34353351035674
163,AMERICAN NATIONAL BANKSHARES,AMNB,1999-04-01 00:00:00,5.7745329528241545,31.56999969482422,2023-04-01 00:00:00,446.71087606114116
164,AMERICAN PUBLIC EDUCATION,APEI,2007-11-01 00:00:00,42.790000915527344,5.670000076293945,2023-05-01 00:00:00,-86.74924058195928
165,AMERICAN SOFTWARE CLASS A,AMSWA,1984-11-01 00:00:00,1.024573855609029,11.90999984741211,2023-05-01 00:00:00,1062.4344874906599
166,AMERICAN STATES WATER,AWR,1984-11-01 00:00:00,0.0,88.5,2023-05-01 00:00:00,inf
167,AMERICAN VANGUARD,AVD,1987-03-01 00:00:00,0.23879972100257874,18.600000381469727,2023-05-05 00:00:00,7688.953983438226
168,AMERICAN WELL,AMWL,2020-09-01 00:00:00,30.600000381469727,2.0299999713897705,2023-05-05 00:00:00,-93.36601324809438
169,AMERICAN WOODMARK,AMWD,1986-07-01 00:00:00,0.0,52.2599983215332,2023-04-01 00:00:00,inf
170,AMERIS BANCORP,ABCB,1994-05-01 00:00:00,2.853786701380542,33.599998474121094,2023-05-01 00:00:00,1077.3829648118701
171,AMERISAFE,AMSF,2005-11-01 00:00:00,5.027555748366315,55.31999969482422,2023-05-01 00:00:00,1000.3358781809677
172,AMICUS THERAPEUTICS,FOLD,2007-05-01 00:00:00,14.399999618530273,11.539999961853027,2023-05-01 00:00:00,-19.861109253065038
173,AMKOR TECH INC,AMKR,1998-05-01 00:00:00,12.098393186738221,22.420000076293945,2023-05-01 00:00:00,85.3138654881035
174,AMMO INC,POWW,2017-02-01 00:00:00,2.4800000190734863,1.9600000381469727,2023-05-01 00:00:00,-20.96774100513042
175,AMN HEALTHCARE SERVICES INC,AMN,2001-11-01 00:00:00,25.899999618530273,86.3499984741211,2023-05-01 00:00:00,233.39768241672712
176,AMNEAL PHARMACEUTICALS,AMRX,2018-05-01 00:00:00,19.780000686645508,1.9299999475479126,2023-05-01 00:00:00,-90.24266996688755
177,AMPHASTAR PHARMACEUTICALS,AMPH,2014-06-01 00:00:00,9.899999618530273,36.790000915527344,2023-05-05 00:00:00,271.61618518313725
178,AMPLIFY ENERGY,AMPY,2012-04-01 00:00:00,134.79485138885454,7.25,2023-04-01 00:00:00,-94.62145629057798
179,AMPLITUDE INC,AMPL,2021-09-01 00:00:00,54.0,11.229999542236328,2023-05-05 00:00:00,-79.2037045514142
180,AMYLYX PHARMACEUTICALS,AMLX,2022-01-01 00:00:00,23.200000762939453,29.299999237060547,2023-04-01 00:00:00,26.293096006554702
181,AMYRIS,AMRS,2010-09-01 00:00:00,258.75,0.8500000238418579,2023-05-05 00:00:00,-99.67149757532681
182,AN2 THERAPEUTICS,ANTX,2022-03-01 00:00:00,15.380000114440918,5.179999828338623,2023-05-05 00:00:00,-66.31989733553442
183,ANAPTYS BIO,ANAB,2017-01-01 00:00:00,17.260000228881836,21.799999237060547,2023-04-01 00:00:00,26.303586025345194
184,ANAVEX LIFE SCIENCES,AVXL,2006-08-01 00:00:00,10.0,8.149999618530273,2023-05-01 00:00:00,-18.500003814697266
185,ANDERSONS INC,ANDE,1996-02-01 00:00:00,2.43169030959364,44.70000076293945,2023-05-01 00:00:00,1738.2275319594162
186,ANGEL OAK MORTGAGE,AOMR,2021-06-01 00:00:00,14.664823028527273,7.889999866485596,2023-05-05 00:00:00,-46.197783286322036
187,ANGIODYNAMICS,ANGO,2004-06-01 00:00:00,14.170000076293945,8.539999961853027,2023-05-05 00:00:00,-39.73182839892688
188,ANI PHARMACEUTICALS,ANIP,2000-05-01 00:00:00,253.125,37.7400016784668,2023-05-01 00:00:00,-85.09036970727237
189,ANIKA THERAPEUT,ANIK,1993-05-01 00:00:00,3.25,25.709999084472656,2023-05-01 00:00:00,691.076894906851
